¿Quién es el líder original de los Vengadores?,Capitán América,Nick Fury,Iron Man,Thor,1,0,0,0,0
¿Qué metal compone el escudo del Capitán América?,Titanio,Hierro,Vibranium,Adamantium,3,0,0,0,0
¿Cuál es el verdadero nombre de Iron Man?,Tony Stark,Bruce Banner,Clint Barton,Steve Rogers,1,0,0,0,0
¿Quién es el villano principal en Avengers: Infinity War?,Loki,Red Skull,Thanos,Ultron,3,0,0,0,0
¿Qué piedra del infinito obtiene Vision?,Piedra del Tiempo,Piedra de la Mente,Piedra del Espacio,Piedra del Alma,2,0,0,0,0
¿Cómo se llama el martillo de Thor?,Gungnir,Stormbreaker,Asgardian Hammer,Mjolnir,4,0,0,0,0
¿Quién es la hermana adoptiva de Thor?,Valkiria,Sif,Frigga,Hela,4,0,0,0,0
¿Qué actor interpreta a Hulk en Endgame?,Mark Ruffalo,Eric Bana,Lou Ferrigno,Edward Norton,1,0,0,0,0
¿Quién creó a Ultron?,Bruce Banner,Nick Fury,Tony Stark,Hank Pym,3,0,0,0,0
¿Cuál es el nombre de la IA que ayuda a Tony Stark?,J.A.R.V.I.S.,F.R.I.D.A.Y.,EDITH,KAREN,1,0,0,0,0
¿Qué miembro de los Vengadores es un ex espía ruso?,Black Widow,Wanda Maximoff,Carol Danvers,Maria Hill,1,0,0,0,0
¿Quién porta el Ojo de Agamotto?,Nick Fury,Iron Man,Doctor Strange,Wong,3,0,0,0,0
¿En qué película muere Tony Stark?,Avengers: Infinity War,Avengers: Endgame,Civil War,Iron Man 3,2,0,0,0,0
¿Qué personaje puede manipular la realidad?,Loki,Falcon,Hawkeye,Wanda Maximoff,4,0,0,0,0
¿Qué piedra del infinito está en la Tesseract?,Piedra de la Realidad,Piedra del Espacio,Piedra de la Mente,Piedra del Poder,2,0,0,0,0
¿Qué Vengador fue congelado durante décadas?,Iron Man,War Machine,Capitán América,Hulk,3,0,0,0,0
¿Cómo se llama el alter ego de Ant-Man?,Hank Pym,Peter Parker,Sam Wilson,Scott Lang,4,0,0,0,0
¿Quién se convierte en Capitán América tras Steve Rogers?,Rhodey,Sam Wilson,Bucky Barnes,Clint Barton,2,0,0,0,0
¿Qué personaje es conocido como Star-Lord?,Rocket,Peter Quill,Drax,Steve Rogers,2,0,0,0,0
¿Qué raza alienígena cambia de forma?,Kree,Asgardianos,Chitauri,Skrulls,4,0,0,0,0
¿Qué Vengador es conocido por usar un arco?,Hawkeye,Black Panther,Ant-Man,Falcon,1,0,0,0,0
¿Qué héroe hereda el escudo del Capitán América?,Shuri,Sam Wilson,Peter Parker,Bucky Barnes,2,0,0,0,0
¿Qué planeta es destruido por Thanos?,Xandar,Knowhere,Titan,Vormir,1,0,0,0,0
¿Dónde se encuentra la Piedra del Alma?,Titan,Xandar,Nidavellir,Vormir,4,0,0,0,0
¿Quién sacrifica su vida por la Piedra del Alma?,Gamora,Black Widow,Vision,Hawkeye,2,0,0,0,0
¿Cuál es el nombre del hacha de Thor?,Stormbreaker,Godhammer,Thunderfist,Skymaker,1,0,0,0,0
¿Quién es el rey de Wakanda?,T'Challa,Shuri,M'Baku,Okoye,1,0,0,0,0
¿Qué Vengador puede controlar el tiempo?,Wanda,Thor,Loki,Doctor Strange,4,0,0,0,0
¿Qué piedra del infinito está en el Ojo de Agamotto?,Piedra del Poder,Piedra del Alma,Piedra de la Realidad,Piedra del Tiempo,4,0,0,0,0
¿Quién es el primer Vengador?,Hulk,Capitán América,Thor,Iron Man,2,0,0,0,0
